step,epoch,lossD,lossG,sec_per_step
1,1,1.408129,0.980171,0.0281
2,1,0.950220,2.568804,0.0350
3,1,0.286099,3.731482,0.0329
4,1,0.155064,4.293532,0.0318
5,1,0.089676,4.580532,0.0309
6,1,0.062813,4.726071,0.0305
7,1,0.048993,4.800936,0.0301
8,1,0.038898,4.843184,0.0299
9,1,0.027650,4.859683,0.0296
10,1,0.029001,4.854174,0.0294
11,1,0.026846,4.787729,0.0291
12,1,0.026826,4.683295,0.0290
13,1,0.028937,4.613572,0.0288
14,1,0.034484,4.625930,0.0287
15,1,0.038274,4.839171,0.0286
16,1,0.037629,5.032685,0.0286
17,1,0.029759,5.208505,0.0285
18,1,0.022913,5.343189,0.0284
19,1,0.029517,5.443023,0.0284
20,1,0.019815,5.481426,0.0283
21,1,0.018079,5.529700,0.0283
22,1,0.022790,5.624051,0.0283
23,1,0.017168,5.493796,0.0283
24,1,0.018933,5.451617,0.0283
25,1,0.028793,5.427999,0.0282
26,1,0.030819,5.496852,0.0282
27,1,0.029093,5.742333,0.0281
28,1,0.021827,5.770875,0.0281
29,1,0.019050,5.815386,0.0281
30,1,0.014823,5.948867,0.0280
31,1,0.013645,6.195189,0.0280
32,1,0.012487,6.085588,0.0280
33,1,0.008523,6.310886,0.0280
34,1,0.010938,6.121463,0.0280
35,1,0.009195,6.222748,0.0279
36,1,0.010598,5.842786,0.0279
37,1,0.014735,5.529950,0.0279
38,1,0.017777,5.514328,0.0279
39,1,0.021954,5.437313,0.0279
40,1,0.014097,5.666783,0.0279
41,1,0.018447,5.884597,0.0278
42,1,0.016627,5.791776,0.0278
43,1,0.022866,6.152469,0.0278
44,1,0.048511,7.033816,0.0278
45,1,0.025486,6.752393,0.0278
46,1,0.023280,6.335065,0.0278
47,1,0.041635,5.710154,0.0278
48,1,0.027256,5.334937,0.0278
49,1,0.028425,5.823440,0.0278
50,1,0.024914,6.424664,0.0278
51,1,0.021755,5.591886,0.0278
52,1,0.018489,6.212293,0.0278
53,1,0.017708,5.883520,0.0278
54,1,0.018432,5.764259,0.0278
55,1,0.026160,5.799666,0.0277
56,1,0.015322,5.623210,0.0277
57,1,0.018236,5.577476,0.0277
58,1,0.024904,5.757270,0.0277
59,1,0.016517,5.679885,0.0277
60,1,0.022389,5.453289,0.0277
61,1,0.030858,6.009839,0.0277
62,1,0.023917,6.133284,0.0277
63,1,0.032227,5.989069,0.0277
64,1,0.020692,5.805206,0.0277
65,1,0.017645,5.959782,0.0277
66,1,0.036067,6.492154,0.0277
67,1,0.046852,6.440776,0.0277
68,1,0.017028,6.307553,0.0277
69,1,0.014539,6.433936,0.0277
70,1,0.010625,6.481661,0.0277
71,1,0.010506,6.411829,0.0277
72,1,0.007994,6.599765,0.0277
73,1,0.006792,6.607463,0.0277
74,1,0.009255,6.576782,0.0277
75,1,0.005758,6.599031,0.0277
76,1,0.006886,6.444808,0.0276
77,1,0.013530,6.808808,0.0276
78,1,0.023868,7.445988,0.0276
79,1,0.006230,7.225400,0.0276
80,1,0.008796,7.069993,0.0276
81,1,0.011338,6.471223,0.0276
82,1,0.034404,7.191242,0.0276
83,1,0.016560,7.118297,0.0276
84,1,0.015474,7.161839,0.0276
85,1,0.007496,7.030550,0.0276
86,1,0.008272,7.102181,0.0276
87,1,0.004488,7.291872,0.0276
88,1,0.003781,7.456623,0.0276
89,1,0.007412,7.116983,0.0276
90,1,0.003536,7.163171,0.0276
91,1,0.003991,7.128263,0.0276
92,1,0.004934,7.128066,0.0276
93,1,0.003346,7.108202,0.0276
94,1,0.013453,7.062330,0.0276
95,1,0.005945,6.924485,0.0276
96,1,0.004575,6.805503,0.0276
97,1,0.005926,6.473742,0.0276
98,1,0.012119,6.323425,0.0276
99,1,0.066955,7.627940,0.0276
100,1,0.050965,6.961110,0.0276
101,1,0.020796,6.719786,0.0277
102,1,0.021403,6.727503,0.0277
