step,epoch,lossD,lossG,sec_per_step
1,1,0.946637,2.686546,0.0314
2,1,0.116714,6.758682,0.0389
3,1,0.029929,7.205031,0.0382
4,1,0.013947,7.138523,0.0366
5,1,0.006726,7.012573,0.0355
6,1,0.006072,6.885925,0.0348
7,1,0.005710,6.747549,0.0343
8,1,0.005605,6.699238,0.0339
9,1,0.005076,7.020033,0.0338
10,1,0.006710,7.324550,0.0335
11,1,0.005333,7.499318,0.0333
12,1,0.007112,8.389587,0.0331
13,1,0.003159,7.914564,0.0330
14,1,0.005330,8.009554,0.0329
15,1,0.003774,7.876228,0.0328
16,1,0.005657,8.087491,0.0326
17,1,0.003929,7.966263,0.0325
18,1,0.002173,7.871507,0.0326
19,1,0.007089,7.768116,0.0325
20,1,0.001850,7.769738,0.0324
21,1,0.002011,7.810537,0.0323
22,1,0.004904,7.806187,0.0322
23,1,0.003715,8.148057,0.0322
24,1,0.002576,8.135241,0.0321
25,1,0.002549,8.359879,0.0321
26,1,0.002708,8.494503,0.0321
27,1,0.003352,8.982105,0.0320
28,1,0.022290,11.390034,0.0320
29,1,0.010616,10.775814,0.0320
30,1,0.001954,9.430032,0.0320
31,1,0.015225,11.162561,0.0319
32,1,0.009008,10.186256,0.0319
33,1,0.001648,9.511583,0.0319
34,1,0.001842,9.256107,0.0318
35,1,0.002156,9.417421,0.0318
36,1,0.002489,9.135420,0.0318
37,1,0.003039,9.246474,0.0318
38,1,0.004954,9.229802,0.0317
39,1,0.003712,8.846655,0.0317
40,1,0.007630,9.627431,0.0317
41,1,0.004869,8.589514,0.0317
42,1,0.021236,10.745363,0.0317
43,1,0.001957,10.120888,0.0317
44,1,0.000854,9.267221,0.0317
45,1,0.001082,8.399342,0.0317
46,1,0.001456,8.690425,0.0317
47,1,0.001454,8.735212,0.0316
48,1,0.000879,8.493641,0.0316
49,1,0.000710,8.542963,0.0316
50,1,0.001090,8.425570,0.0316
51,1,0.001532,8.507231,0.0316
52,1,0.158688,11.292282,0.0316
53,1,0.000384,9.386445,0.0316
54,1,0.002311,8.310659,0.0316
55,1,0.005534,8.342749,0.0316
56,1,0.004035,7.765158,0.0316
57,1,0.499379,16.089252,0.0316
58,1,0.131839,14.839621,0.0316
59,1,0.000465,12.196871,0.0315
60,1,3.513220,7.622306,0.0315
61,1,0.439925,5.356264,0.0315
62,1,0.130305,7.184828,0.0315
63,1,0.043877,6.888943,0.0315
64,1,0.048395,7.144669,0.0315
65,1,0.076822,6.524623,0.0315
66,1,1.478437,2.988945,0.0315
67,1,0.479928,5.563672,0.0315
68,1,0.082213,7.045480,0.0315
69,1,0.038707,5.795018,0.0315
70,1,0.360065,6.624832,0.0315
71,1,0.182425,4.703765,0.0315
72,1,0.312534,8.322319,0.0314
73,1,0.040491,8.500989,0.0314
74,1,0.029409,7.537127,0.0314
75,1,0.009960,6.771908,0.0314
76,1,0.006467,6.257292,0.0314
77,1,0.006653,6.141330,0.0314
78,1,0.008843,6.009617,0.0314
79,1,0.008718,5.864991,0.0314
80,1,0.012376,5.744087,0.0314
81,1,0.022776,4.910026,0.0314
82,1,0.073511,6.141741,0.0314
83,1,0.119787,5.370595,0.0314
84,1,1.395544,0.155080,0.0314
85,1,2.412005,4.415065,0.0314
86,1,0.581645,2.259540,0.0314
87,1,0.446649,2.928166,0.0314
88,1,0.364086,3.324683,0.0314
89,1,0.239841,3.464148,0.0314
90,1,0.220440,3.954878,0.0314
91,1,0.191492,4.065112,0.0314
92,1,0.249900,3.101246,0.0314
93,1,0.248007,4.148227,0.0314
94,1,0.283875,3.048057,0.0314
95,1,0.410754,1.476908,0.0314
96,1,1.086057,1.484463,0.0314
97,1,0.389001,3.553125,0.0313
98,1,0.242814,3.508185,0.0313
99,1,0.231717,3.137516,0.0313
100,1,0.423761,1.955515,0.0313
101,1,1.423429,0.421999,0.0315
102,1,1.173890,3.255414,0.0315
103,1,0.516616,2.302511,0.0315
104,1,0.380053,2.607958,0.0315
105,1,0.418416,2.803954,0.0316
106,1,0.331921,2.594296,0.0316
107,1,0.287338,3.386627,0.0316
108,1,0.213959,3.574321,0.0316
109,1,0.357203,4.064333,0.0316
110,1,0.232261,2.809866,0.0317
111,1,0.494339,1.800013,0.0317
112,1,1.829563,1.139907,0.0317
113,1,0.826398,3.425811,0.0317
114,1,0.496123,2.561621,0.0317
115,1,0.372181,2.784982,0.0317
116,1,0.367885,2.611050,0.0317
117,1,0.322392,2.778693,0.0317
118,1,0.227405,3.320302,0.0317
119,1,0.233467,3.185697,0.0317
120,1,0.284552,2.817782,0.0317
121,1,0.393923,1.372752,0.0317
122,1,1.503472,0.785520,0.0317
123,1,0.673331,3.868848,0.0317
124,1,0.331077,2.414203,0.0316
125,1,0.277307,3.466167,0.0316
126,1,0.352257,2.437910,0.0316
127,1,0.357085,2.659725,0.0316
128,1,0.377997,2.490732,0.0316
129,1,0.339968,2.891650,0.0316
130,1,0.279393,3.027775,0.0316
131,1,0.208206,3.373027,0.0316
132,1,0.129097,4.172401,0.0316
133,1,0.138662,3.916241,0.0316
134,1,0.116832,3.938130,0.0316
135,1,0.132422,3.844193,0.0316
136,1,0.162240,3.305301,0.0316
137,1,0.392151,0.943407,0.0316
138,1,1.685985,2.269079,0.0316
139,1,0.355169,3.457114,0.0316
140,1,0.279535,3.406441,0.0316
