step,epoch,lossD,lossG,sec_per_step
1,1,1.408129,1.254289,0.0280
2,1,0.613577,4.714856,0.0348
3,1,0.102600,6.016584,0.0330
4,1,0.058579,6.476469,0.0318
5,1,0.030793,6.624992,0.0309
6,1,0.021272,6.619075,0.0304
7,1,0.016140,6.509192,0.0301
8,1,0.013052,6.292866,0.0297
9,1,0.009027,5.918028,0.0295
10,1,0.016488,5.409028,0.0292
11,1,0.031932,5.536633,0.0291
12,1,0.025714,6.072958,0.0289
13,1,0.015930,6.330269,0.0288
14,1,0.014146,6.301517,0.0288
15,1,0.014595,6.381689,0.0286
16,1,0.021409,6.447544,0.0286
17,1,0.023679,6.879951,0.0286
18,1,0.009965,7.007056,0.0285
19,1,0.020241,6.904168,0.0285
20,1,0.010231,6.650465,0.0284
21,1,0.012925,6.657432,0.0284
22,1,0.016536,6.820432,0.0283
23,1,0.008405,6.680401,0.0282
24,1,0.010631,6.895764,0.0282
25,1,0.009470,6.969243,0.0281
26,1,0.008037,7.028332,0.0281
27,1,0.009340,7.027293,0.0281
28,1,0.008207,7.005241,0.0281
29,1,0.014063,7.258257,0.0281
30,1,0.103314,9.426934,0.0281
31,1,0.034611,9.495729,0.0280
32,1,0.050771,7.767745,0.0280
33,1,0.015847,6.654283,0.0280
34,1,0.030533,7.776227,0.0279
35,1,0.013213,8.055635,0.0279
36,1,0.013769,7.628730,0.0279
37,1,0.010456,6.931317,0.0279
38,1,0.010047,6.603877,0.0279
39,1,0.016604,6.606344,0.0279
40,1,0.008918,7.149053,0.0279
41,1,0.013442,7.552985,0.0279
42,1,0.012611,6.718848,0.0279
43,1,0.012819,7.002328,0.0278
44,1,0.018804,6.949771,0.0278
45,1,0.016661,6.233039,0.0278
46,1,0.012657,5.636880,0.0278
47,1,0.045569,8.272283,0.0278
48,1,0.128018,3.585831,0.0278
49,1,0.285967,10.290918,0.0277
50,1,0.469181,7.781513,0.0277
51,1,0.008354,5.251034,0.0277
52,1,0.102338,7.191854,0.0277
53,1,0.056938,7.376407,0.0277
54,1,0.007717,7.826201,0.0277
55,1,0.009516,7.605103,0.0277
56,1,0.006636,7.249949,0.0277
57,1,0.006309,7.122086,0.0277
58,1,0.009517,6.505880,0.0277
59,1,0.006213,5.921846,0.0277
60,1,0.010008,5.988820,0.0277
61,1,0.014207,5.681546,0.0277
62,1,0.024006,5.911152,0.0277
63,1,0.067492,7.622455,0.0277
64,1,0.040920,6.584098,0.0277
65,1,0.115045,8.263693,0.0277
66,1,0.160071,5.348855,0.0277
67,1,1.824387,10.776848,0.0276
68,1,0.856118,9.027981,0.0276
69,1,0.024111,7.947630,0.0276
70,1,0.031228,7.581480,0.0276
71,1,0.016699,7.292817,0.0276
72,1,0.022774,7.264011,0.0276
73,1,0.016432,7.339009,0.0276
74,1,0.024029,7.894430,0.0276
75,1,0.011946,7.592808,0.0276
76,1,0.012393,7.498799,0.0276
77,1,0.011700,6.968966,0.0276
78,1,0.034709,6.181285,0.0276
79,1,0.373612,8.737494,0.0276
80,1,0.069870,8.978629,0.0276
81,1,0.230178,7.215770,0.0276
82,1,0.116461,7.101967,0.0276
83,1,0.157427,8.226004,0.0276
84,1,0.317750,6.963121,0.0276
85,1,0.239106,3.424367,0.0276
86,1,0.193737,8.128916,0.0276
87,1,0.067190,8.753634,0.0276
88,1,0.062688,7.899793,0.0275
89,1,0.041562,6.940901,0.0275
90,1,0.014737,6.113335,0.0275
91,1,0.017602,6.003644,0.0275
92,1,0.017399,6.143409,0.0276
93,1,0.014297,6.059795,0.0275
94,1,0.042812,5.799705,0.0275
95,1,0.031709,5.298559,0.0275
96,1,0.093649,7.625422,0.0275
97,1,0.084224,5.024074,0.0275
98,1,0.573681,10.643993,0.0275
99,1,7.452971,0.504775,0.0275
100,1,1.766327,3.454558,0.0275
101,1,0.621121,3.624762,0.0277
102,1,0.402009,2.131921,0.0277
103,1,0.486913,2.856653,0.0277
