step,epoch,lossD,lossG,sec_per_step
1,1,1.408129,0.857051,0.4689
2,1,1.222793,1.398496,0.2809
3,1,0.654373,2.224009,0.1960
4,1,0.398773,2.797862,0.1540
5,1,0.263970,3.163375,0.1286
6,1,0.195134,3.391326,0.1118
7,1,0.155545,3.541299,0.1000
8,1,0.120313,3.657784,0.0909
9,1,0.089904,3.755902,0.0838
10,1,0.081814,3.850675,0.0782
11,1,0.072977,3.929935,0.0735
12,1,0.065213,4.006079,0.0697
13,1,0.056137,4.079951,0.0665
14,1,0.051778,4.129436,0.0637
15,1,0.050525,4.182088,0.0613
16,1,0.052228,4.188016,0.0592
17,1,0.047096,4.180254,0.0573
18,1,0.042868,4.170331,0.0557
19,1,0.052476,4.164300,0.0542
20,1,0.048081,4.175632,0.0529
21,1,0.048162,4.206310,0.0516
22,1,0.055760,4.276185,0.0505
23,1,0.047140,4.325640,0.0495
24,1,0.040760,4.459358,0.0486
25,1,0.041127,4.527219,0.0477
26,1,0.038977,4.599751,0.0469
27,1,0.036515,4.690669,0.0462
28,1,0.031297,4.781198,0.0455
29,1,0.030958,4.841821,0.0449
30,1,0.029331,4.917539,0.0443
31,1,0.028119,4.942959,0.0437
32,1,0.027345,4.978234,0.0432
33,1,0.020616,5.149710,0.0428
34,1,0.023031,5.105511,0.0423
35,1,0.021270,5.117890,0.0419
36,1,0.022727,5.019056,0.0415
37,1,0.024771,4.961265,0.0411
38,1,0.025511,4.834239,0.0407
39,1,0.032922,4.679073,0.0404
40,1,0.033683,4.820261,0.0401
41,1,0.030666,4.896780,0.0397
42,1,0.030710,4.825402,0.0394
43,1,0.031571,4.924777,0.0391
44,1,0.027469,5.052569,0.0389
45,1,0.025285,5.182187,0.0386
46,1,0.017518,5.275011,0.0384
47,1,0.018855,5.395688,0.0381
48,1,0.015436,5.494699,0.0379
49,1,0.014315,5.481525,0.0377
50,1,0.015825,5.642035,0.0375
51,1,0.012945,5.716250,0.0374
52,1,0.011517,5.680450,0.0373
53,1,0.011233,5.701622,0.0373
54,1,0.012119,5.853092,0.0371
55,1,0.012721,5.746182,0.0369
56,1,0.009958,5.829967,0.0368
57,1,0.011838,5.740941,0.0366
