step,epoch,lossD,lossG,sec_per_step
1,1,1.101166,1.526929,0.0318
2,1,0.334768,4.502249,0.0388
3,1,0.086248,5.218525,0.0376
4,1,0.042477,5.383612,0.0361
5,1,0.024258,5.472128,0.0350
6,1,0.019397,5.556664,0.0345
7,1,0.016578,5.637165,0.0341
8,1,0.013907,5.693274,0.0336
9,1,0.009890,5.756188,0.0333
10,1,0.011730,5.781981,0.0331
11,1,0.010609,5.756647,0.0329
12,1,0.010245,5.809557,0.0327
13,1,0.009854,5.916617,0.0326
14,1,0.009761,6.041895,0.0325
15,1,0.009450,6.193656,0.0324
16,1,0.010200,6.283184,0.0323
17,1,0.008568,6.395854,0.0322
18,1,0.006674,6.460421,0.0322
19,1,0.012414,6.476731,0.0321
20,1,0.006253,6.544054,0.0320
21,1,0.005510,6.603102,0.0320
22,1,0.008355,6.702338,0.0319
23,1,0.005614,6.663282,0.0319
24,1,0.006116,6.660811,0.0319
25,1,0.007193,6.825192,0.0318
26,1,0.006891,6.857830,0.0318
27,1,0.007085,6.933818,0.0317
28,1,0.005238,6.935233,0.0317
29,1,0.004960,7.009122,0.0317
30,1,0.004049,7.167659,0.0317
31,1,0.004381,7.075097,0.0316
32,1,0.003637,7.173366,0.0316
33,1,0.002945,7.211973,0.0316
34,1,0.003551,7.126024,0.0316
35,1,0.003564,7.058872,0.0316
36,1,0.004291,6.880131,0.0315
37,1,0.005510,7.049556,0.0315
38,1,0.004933,6.901141,0.0315
39,1,0.005683,7.207682,0.0315
40,1,0.005436,7.269920,0.0315
41,1,0.007216,7.729598,0.0315
42,1,0.007055,7.886115,0.0316
43,1,0.007705,7.766848,0.0315
44,1,0.008169,7.279032,0.0315
45,1,0.008649,7.050169,0.0315
46,1,0.007195,7.743559,0.0315
47,1,0.008348,7.699944,0.0315
48,1,0.005591,7.121511,0.0315
49,1,0.004895,7.301994,0.0315
50,1,0.005827,7.410899,0.0315
51,1,0.007635,7.799533,0.0315
52,1,0.003343,7.234392,0.0315
53,1,0.005256,7.360414,0.0315
54,1,0.006502,7.266135,0.0314
55,1,0.007245,7.456157,0.0314
56,1,0.004899,7.145507,0.0314
57,1,0.006231,7.293571,0.0314
58,1,0.006946,6.813596,0.0314
59,1,0.008171,8.122253,0.0314
60,1,0.007504,6.930382,0.0315
61,1,0.008242,7.960978,0.0316
62,1,0.005634,7.942649,0.0317
63,1,0.003993,7.104553,0.0317
64,1,0.006627,8.317352,0.0317
65,1,0.003802,7.843871,0.0316
66,1,0.008083,7.501212,0.0316
67,1,0.006631,7.443742,0.0316
68,1,0.002144,7.637279,0.0316
69,1,0.001750,7.761543,0.0316
70,1,0.001460,7.737713,0.0316
71,1,0.001564,7.853247,0.0316
72,1,0.001370,7.796688,0.0316
73,1,0.001447,7.617311,0.0316
74,1,0.002619,7.457548,0.0315
75,1,0.004442,8.334530,0.0315
76,1,0.002646,7.762927,0.0315
77,1,0.007252,8.918242,0.0315
78,1,0.003520,8.115671,0.0315
79,1,0.005070,7.830686,0.0315
80,1,0.005849,7.689411,0.0315
81,1,0.005867,7.244154,0.0315
82,1,0.003312,7.648420,0.0315
83,1,0.002592,7.665516,0.0315
84,1,0.002426,7.454114,0.0315
85,1,0.002556,7.103552,0.0315
86,1,0.004845,7.586546,0.0315
87,1,0.008697,8.688341,0.0315
88,1,0.006000,7.657915,0.0315
89,1,0.006075,7.499277,0.0315
90,1,0.002984,7.791036,0.0315
91,1,0.003601,7.914257,0.0314
92,1,0.009758,9.425141,0.0314
93,1,0.004570,7.618433,0.0314
94,1,2.709827,3.003520,0.0314
95,1,0.902004,6.235867,0.0314
96,1,0.030162,6.317830,0.0314
97,1,0.024626,6.178385,0.0314
98,1,0.030395,6.084260,0.0314
99,1,0.024951,5.721278,0.0314
100,1,0.031181,5.431170,0.0314
101,1,0.044109,5.605408,0.0316
102,1,0.072687,5.953338,0.0316
103,1,0.333923,5.505870,0.0316
104,1,0.487084,6.751324,0.0316
105,1,0.329261,6.589924,0.0316
106,1,0.360965,6.947721,0.0316
107,1,0.044144,5.377483,0.0316
108,1,0.044119,5.998034,0.0316
109,1,0.022195,5.922572,0.0316
110,1,0.016850,5.564168,0.0316
111,1,0.015369,5.614612,0.0316
112,1,0.028692,5.433759,0.0316
113,1,0.011401,5.599856,0.0316
114,1,0.007805,5.979024,0.0316
115,1,0.006812,6.194440,0.0316
116,1,0.007841,6.160554,0.0315
117,1,0.006338,6.132717,0.0315
118,1,0.007665,5.928024,0.0315
119,1,0.010036,5.789387,0.0315
120,1,0.012077,5.690275,0.0315
121,1,0.013374,5.633391,0.0315
122,1,0.012109,5.905846,0.0315
123,1,0.009963,6.028951,0.0315
124,1,0.011544,6.058312,0.0315
125,1,0.006013,5.999659,0.0315
126,1,0.006378,6.111976,0.0315
127,1,0.010337,5.954320,0.0315
128,1,0.010128,5.741930,0.0315
129,1,0.013159,5.877962,0.0315
130,1,0.017902,6.131411,0.0315
131,1,0.028176,6.561686,0.0315
132,1,0.026691,5.905076,0.0315
133,1,0.115890,6.402822,0.0315
